typeofplace state region married education familyincome seedebates efficacy involvement predict close importance partyid willvote sex race age lifecycle socialclass wasmilitary parentsborn catholic church
371 0 13 1 0 1 6 2 4 2 1 4 4 1 2 2 0 59 2 1 0 NA 0 2
374 4 14 4 0 2 5 2 4 3 2 3 NA 6 2 2 0 44 3 1 0 0 0 2
376 0 14 1 1 1 2 2 3 5 2 3 5 2 2 2 0 53 1 1 0 NA 0 2
377 0 14 1 1 1 4 2 5 3 2 4 2 2 2 2 0 53 1 1 0 1 1 4
379 0 71 1 0 2 5 2 3 2 1 4 4 6 2 1 0 64 3 1 0 NA 0 3
381 4 34 2 0 2 4 2 4 1 2 4 1 7 1 2 0 34 3 1 0 1 1 3
382 4 25 3 0 2 7 2 1 2 1 3 2 6 2 2 0 37 3 2 0 1 1 4
383 4 25 3 0 1 2 1 3 1 1 4 1 1 1 1 0 61 2 1 0 1 0 3
384 4 25 3 1 1 3 NA 1 1 1 3 1 1 2 1 0 71 2 2 0 0 NA NA
385 4 25 3 0 2 6 2 3 3 2 3 1 5 2 2 0 46 3 1 0 1 0 4
386 4 51 2 0 1 2 2 1 1 2 4 1 7 2 1 0 79 2 1 0 1 0 1
387 4 51 2 0 2 7 2 3 3 2 3 2 2 2 1 0 33 3 1 0 1 0 2
388 4 51 2 0 1 7 2 4 2 2 3 2 7 2 2 0 56 2 2 0 1 0 4
389 4 24 2 0 1 3 2 2 3 1 3 2 1 2 1 0 71 2 1 0 1 1 4
390 4 13 2 0 1 5 1 3 6 2 4 4 2 2 1 0 74 2 1 0 0 1 3
392 4 31 3 0 2 6 2 3 1 2 3 1 6 2 1 0 44 3 1 0 0 0 4
394 4 45 2 0 3 9 2 4 4 2 3 4 2 2 1 0 33 3 1 1 1 0 3
395 4 45 2 0 2 9 2 4 1 2 3 1 2 2 1 0 46 3 2 1 1 0 2
398 4 1 1 0 1 5 2 1 1 2 4 1 6 2 2 0 57 2 2 0 0 1 4
400 4 1 1 0 2 6 2 2 2 2 3 2 7 2 1 0 67 2 2 0 1 0 4
403 4 35 4 0 2 8 2 3 2 2 3 4 6 2 2 0 40 3 2 0 1 0 4
404 4 23 2 0 2 7 2 4 1 2 3 1 2 1 1 0 49 3 2 0 1 0 2
405 4 23 2 0 3 5 2 4 3 2 3 1 7 2 2 0 27 3 1 0 0 0 4
